sol [*,*] (tr)
:      obiettivo   D    C    N_min:=
870    0.0434783   5   12    6
871    0.0434783   5   12    7
872    0.0434783   5   12    8
873    0.0434783   5   12    9
874    0.0434783   5   12   10
875    0.0434783   5   12   11
876    0.0434783   5   12   12
877    0.0434783   5   12   13
878    0.0434783   5   12   14
879    0.0434783   5   12   15
880    0.0434783   5   12   16
881    0.0434783   5   12   17
882    0.0434783   5   12   18
883    0.0434783   5   12   19
884    0.0434783   5   12   20
885    0.0434783   5   13    4
886    0.0434783   5   13    5
887    0.0434783   5   13    6
888    0.0434783   5   13    7
889    0.0434783   5   13    8
890    0.0434783   5   13    9
891    0.0434783   5   13   10
892    0.0434783   5   13   11
893    0.0434783   5   13   12
894    0.0434783   5   13   13
895    0.0434783   5   13   14
896    0.0434783   5   13   15
897    0.0434783   5   13   16
898    0.0434783   5   13   17
899    0.0434783   5   13   18
900    0.0434783   5   13   19
901    0.0434783   5   13   20
902    0.0434783   5   14    4
903    0.0434783   5   14    5
904    0.0434783   5   14    6
905    0.0434783   5   14    7
906    0.0434783   5   14    8
907    0.0434783   5   14    9
908    0.0434783   5   14   10
909    0.0434783   5   14   11
910    0.0434783   5   14   12
911    0.0434783   5   14   13
912    0.0434783   5   14   14
913    0.0434783   5   14   15
914    0.0434783   5   14   16
915    0.0434783   5   14   17
916    0.0434783   5   14   18
917    0.0434783   5   14   19
918    0.0434783   5   14   20
919    0.0434783   5   15    4
920    0.0434783   5   15    5
921    0.0434783   5   15    6
922    0.0434783   5   15    7
923    0.0434783   5   15    8
924    0.0434783   5   15    9
925    0.0434783   5   15   10
926    0.0434783   5   15   11
927    0.0434783   5   15   12
928    0.0434783   5   15   13
929    0.0434783   5   15   14
930    0.0434783   5   15   15
931    0.0434783   5   15   16
932    0.0434783   5   15   17
933    0.0434783   5   15   18
934    0.0434783   5   15   19
935    0.0434783   5   15   20
936    0.0434783   5   16    4
937    0.0434783   5   16    5
938    0.0434783   5   16    6
939    0.0434783   5   16    7
940    0.0434783   5   16    8
941    0.0434783   5   16    9
942    0.0434783   5   16   10
943    0.0434783   5   16   11
944    0.0434783   5   16   12
945    0.0434783   5   16   13
946    0.0434783   5   16   14
947    0.0434783   5   16   15
948    0.0434783   5   16   16
949    0.0434783   5   16   17
950    0.0434783   5   16   18
951    0.0434783   5   16   19
952    0.0434783   5   16   20
953    0.0434783   5   17    4
954    0.0434783   5   17    5
955    0.0434783   5   17    6
956    0.0434783   5   17    7
957    0.0434783   5   17    8
958    0.0434783   5   17    9
959    0.0434783   5   17   10
960    0.0434783   5   17   11
961    0.0434783   5   17   12
962    0.0434783   5   17   13
